hhid,eligible,time,cash,female,age25,schooling,health
38,0,0,1,1,1,1,-.57012212
38,0,1,1,1,1,1,-.57012212
39,0,0,1,1,1,1,-1.4901482
39,0,1,1,1,1,1,-.57012212
40,0,0,1,1,1,0,1.26993
40,0,1,1,1,1,0,-.57012212
41,1,0,1,0,1,1,-.57012212
41,1,1,1,0,1,1,-.57012212
42,0,0,1,1,1,0,.34990394
42,0,1,1,1,1,0,-.57012212
43,0,0,1,0,1,1,-.57012212
43,0,1,1,0,1,1,-.57012212
44,0,0,1,1,1,0,-1.4901482
44,0,1,1,1,1,0,-.57012212
45,0,0,1,1,1,0,.34990394
45,0,1,1,1,1,0,-.57012212
46,1,0,1,0,1,1,-.57012212
46,1,1,1,0,1,1,1.26993
47,0,0,1,1,1,0,-.57012212
47,0,1,1,1,1,0,-.57012212
48,0,0,1,1,1,0,-.57012212
48,0,1,1,1,1,0,-.57012212
49,1,0,1,1,1,0,-1.4901482
49,1,1,1,1,1,0,-.57012212
50,0,0,1,1,1,1,.34990394
50,0,1,1,1,1,1,-.57012212
51,0,0,1,1,1,0,-2.4101741
51,0,1,1,1,1,0,.34990394
52,0,0,1,1,1,0,-1.4901482
52,0,1,1,1,1,0,-1.4901482
53,1,0,1,1,1,0,.34990394
53,1,1,1,1,1,0,1.26993
54,1,0,1,0,1,0,-.57012212
54,1,1,1,0,1,0,-.57012212
55,0,0,1,1,1,0,-.57012212
55,0,1,1,1,1,0,.34990394
56,0,0,1,1,1,1,1.26993
56,0,1,1,1,1,1,.34990394
57,1,0,1,1,0,0,-.57012212
57,1,1,1,1,0,0,1.26993
58,1,0,1,1,1,0,-.57012212
58,1,1,1,1,1,0,1.26993
59,1,0,1,1,1,1,-.57012212
59,1,1,1,1,1,1,-.57012212
60,0,0,1,0,1,1,1.26993
60,0,1,1,0,1,1,.34990394
61,0,0,1,1,1,1,-.57012212
61,0,1,1,1,1,1,1.26993
62,1,0,1,1,1,0,-1.4901482
62,1,1,1,1,1,0,-.57012212
63,0,0,1,1,1,0,-1.4901482
63,0,1,1,1,1,0,1.26993
64,1,0,1,1,1,0,-.57012212
64,1,1,1,1,1,0,-.57012212
65,1,0,1,1,1,1,-.57012212
65,1,1,1,1,1,1,-.57012212
66,1,0,1,0,1,1,-.57012212
66,1,1,1,0,1,1,-.57012212
67,1,0,1,0,1,1,1.26993
67,1,1,1,0,1,1,-.57012212
68,0,0,1,1,0,0,1.26993
68,0,1,1,1,0,0,-.57012212
69,0,0,1,1,1,0,-.57012212
69,0,1,1,1,1,0,-.57012212
70,1,0,1,0,0,1,-.57012212
70,1,1,1,0,0,1,-.57012212
71,1,0,1,1,1,1,-1.4901482
71,1,1,1,1,1,1,-.57012212
72,1,0,1,1,1,1,-.57012212
72,1,1,1,1,1,1,-.57012212
73,0,0,1,0,1,0,.34990394
73,0,1,1,0,1,0,-.57012212
74,0,0,1,1,1,0,1.26993
74,0,1,1,1,1,0,1.26993
75,1,0,1,1,1,0,1.26993
75,1,1,1,1,1,0,-.57012212
76,0,0,1,1,1,0,-1.4901482
76,0,1,1,1,1,0,-.57012212
77,0,0,1,1,0,1,1.26993
77,0,1,1,1,0,1,1.26993
78,0,0,1,1,1,0,1.26993
78,0,1,1,1,1,0,-.57012212
79,1,0,1,1,1,0,-2.4101741
79,1,1,1,1,1,0,1.26993
80,1,0,1,1,1,0,1.26993
80,1,1,1,1,1,0,-1.4901482
81,1,0,1,0,1,1,-.57012212
81,1,1,1,0,1,1,-.57012212
82,0,0,1,1,1,0,-.57012212
82,0,1,1,1,1,0,-.57012212
83,1,0,1,1,1,0,-1.4901482
83,1,1,1,1,1,0,-2.4101741
84,0,0,1,1,1,0,1.26993
84,0,1,1,1,1,0,-1.4901482
85,0,0,1,1,1,0,1.26993
85,0,1,1,1,1,0,-.57012212
86,1,0,1,1,1,0,1.26993
86,1,1,1,1,1,0,1.26993
87,0,0,1,1,1,1,-.57012212
87,0,1,1,1,1,1,-.57012212
88,1,0,1,1,0,0,-.57012212
88,1,1,1,1,0,0,1.26993
89,0,0,1,1,1,0,-1.4901482
89,0,1,1,1,1,0,-.57012212
90,0,0,1,1,1,0,-1.4901482
90,0,1,1,1,1,0,-1.4901482
91,1,0,1,1,1,0,.34990394
91,1,1,1,1,1,0,.34990394
92,0,0,1,1,1,0,-1.4901482
92,0,1,1,1,1,0,-1.4901482
93,0,0,1,1,1,0,-1.4901482
93,0,1,1,1,1,0,-1.4901482
94,1,0,1,1,1,0,-1.4901482
94,1,1,1,1,1,0,-.57012212
95,0,0,1,1,1,0,-1.4901482
95,0,1,1,1,1,0,-1.4901482
96,1,0,1,0,1,1,1.26993
96,1,1,1,0,1,1,-.57012212
97,1,0,1,1,0,1,.34990394
97,1,1,1,1,0,1,-.57012212
98,1,0,1,1,0,1,-1.4901482
98,1,1,1,1,0,1,-.57012212
99,1,0,1,1,1,0,1.26993
99,1,1,1,1,1,0,-.57012212
100,0,0,1,1,1,1,1.26993
100,0,1,1,1,1,1,.34990394
101,0,0,1,1,1,0,-.57012212
101,0,1,1,1,1,0,1.26993
102,1,0,1,1,1,1,-.57012212
102,1,1,1,1,1,1,.34990394
103,0,0,1,0,1,1,-1.4901482
103,0,1,1,0,1,1,-.57012212
104,0,0,1,0,1,1,1.26993
104,0,1,1,0,1,1,-.57012212
105,0,0,1,1,1,0,-.57012212
105,0,1,1,1,1,0,-.57012212
106,0,0,1,1,1,0,1.26993
106,0,1,1,1,1,0,1.26993
107,1,0,1,1,1,0,-.57012212
107,1,1,1,1,1,0,-.57012212
108,1,0,1,1,1,0,-.57012212
108,1,1,1,1,1,0,1.26993
109,1,0,1,0,1,1,-.57012212
109,1,1,1,0,1,1,.34990394
110,0,0,1,1,1,0,-1.4901482
110,0,1,1,1,1,0,-1.4901482
111,0,0,1,1,1,1,-.57012212
111,0,1,1,1,1,1,1.26993
112,1,0,1,0,1,0,1.26993
112,1,1,1,0,1,0,-.57012212
113,1,0,1,1,1,0,-.57012212
113,1,1,1,1,1,0,-.57012212
114,0,0,1,1,1,0,-1.4901482
114,0,1,1,1,1,0,-.57012212
115,0,0,1,1,1,0,-1.4901482
115,0,1,1,1,1,0,-.57012212
116,1,0,1,1,1,0,-.57012212
116,1,1,1,1,1,0,-.57012212
117,1,0,1,1,1,0,-.57012212
117,1,1,1,1,1,0,1.26993
118,0,0,1,1,1,1,-.57012212
118,0,1,1,1,1,1,-.57012212
119,0,0,1,1,1,0,-.57012212
119,0,1,1,1,1,0,-.57012212
120,1,0,1,0,1,1,1.26993
120,1,1,1,0,1,1,1.26993
121,0,0,1,1,1,0,1.26993
121,0,1,1,1,1,0,1.26993
122,1,0,1,1,1,0,1.26993
122,1,1,1,1,1,0,-.57012212
123,1,0,1,1,0,1,-.57012212
123,1,1,1,1,0,1,-.57012212
124,0,0,1,0,1,0,-.57012212
124,0,1,1,0,1,0,-1.4901482
125,1,0,1,1,1,1,-.57012212
125,1,1,1,1,1,1,-.57012212
126,1,0,1,1,0,0,-.57012212
126,1,1,1,1,0,0,-1.4901482
127,0,0,1,1,1,0,-.57012212
127,0,1,1,1,1,0,-.57012212
128,0,0,1,1,1,0,-.57012212
128,0,1,1,1,1,0,-.57012212
129,0,0,1,1,1,0,-.57012212
129,0,1,1,1,1,0,.34990394
130,1,0,1,0,1,0,-2.4101741
130,1,1,1,0,1,0,-2.4101741
131,1,0,1,1,1,0,-2.4101741
131,1,1,1,1,1,0,-.57012212
132,1,0,1,1,1,1,1.26993
132,1,1,1,1,1,1,-2.4101741
133,1,0,1,1,1,0,-.57012212
133,1,1,1,1,1,0,-.57012212
134,1,0,1,1,1,0,1.26993
134,1,1,1,1,1,0,.34990394
135,0,0,1,1,1,0,-.57012212
135,0,1,1,1,1,0,-1.4901482
136,0,0,1,0,1,0,1.26993
136,0,1,1,0,1,0,-.57012212
137,0,0,1,0,1,1,-.57012212
137,0,1,1,0,1,1,-.57012212
138,1,0,1,1,1,0,-.57012212
138,1,1,1,1,1,0,-.57012212
139,1,0,1,1,1,1,-.57012212
139,1,1,1,1,1,1,1.26993
140,1,0,1,1,1,0,-.57012212
140,1,1,1,1,1,0,-.57012212
141,0,0,1,1,1,0,-.57012212
141,0,1,1,1,1,0,-.57012212
142,0,0,1,0,1,0,-.57012212
142,0,1,1,0,1,0,.34990394
143,0,0,1,1,1,1,-.57012212
143,0,1,1,1,1,1,-.57012212
144,1,0,1,1,0,0,-.57012212
144,1,1,1,1,0,0,1.26993
145,1,0,1,1,0,0,-.57012212
145,1,1,1,1,0,0,1.26993
146,0,0,1,1,1,0,-1.4901482
146,0,1,1,1,1,0,-1.4901482
147,0,0,1,1,1,1,-.57012212
147,0,1,1,1,1,1,-.57012212
148,1,0,1,1,1,0,1.26993
148,1,1,1,1,1,0,1.26993
149,0,0,1,1,1,0,-.57012212
149,0,1,1,1,1,0,-.57012212
150,1,0,1,0,1,1,-2.4101741
150,1,1,1,0,1,1,-.57012212
151,0,0,1,1,0,0,-.57012212
151,0,1,1,1,0,0,1.26993
152,1,0,1,1,1,0,-2.4101741
152,1,1,1,1,1,0,1.26993
153,1,0,1,1,0,0,-.57012212
153,1,1,1,1,0,0,-.57012212
154,1,0,1,0,0,0,1.26993
154,1,1,1,0,0,0,1.26993
155,0,0,1,0,1,1,-.57012212
155,0,1,1,0,1,1,.34990394
156,0,0,1,1,1,0,-.57012212
156,0,1,1,1,1,0,-.57012212
157,1,0,1,1,1,0,-.57012212
157,1,1,1,1,1,0,1.26993
158,1,0,1,1,1,0,-.57012212
158,1,1,1,1,1,0,-.57012212
159,0,0,1,1,1,0,.34990394
159,0,1,1,1,1,0,1.26993
160,1,0,1,1,1,0,-.57012212
160,1,1,1,1,1,0,-.57012212
161,1,0,1,0,1,0,-.57012212
161,1,1,1,0,1,0,.34990394
162,0,0,1,0,1,1,-.57012212
162,0,1,1,0,1,1,.34990394
163,1,0,1,1,1,1,1.26993
163,1,1,1,1,1,1,1.26993
164,0,0,1,1,1,0,.34990394
164,0,1,1,1,1,0,.34990394
165,0,0,1,0,1,0,1.26993
165,0,1,1,0,1,0,.34990394
166,1,0,1,0,1,0,-.57012212
166,1,1,1,0,1,0,-.57012212
167,0,0,1,1,1,0,-.57012212
167,0,1,1,1,1,0,-1.4901482
168,0,0,1,1,1,0,-1.4901482
168,0,1,1,1,1,0,-.57012212
169,1,0,1,1,1,0,-.57012212
169,1,1,1,1,1,0,-.57012212
170,1,0,1,0,1,1,1.26993
170,1,1,1,0,1,1,-.57012212
171,1,0,1,1,1,0,-.57012212
171,1,1,1,1,1,0,1.26993
172,1,0,1,1,1,1,-.57012212
172,1,1,1,1,1,1,-.57012212
173,0,0,1,0,1,0,1.26993
173,0,1,1,0,1,0,1.26993
174,1,0,1,1,0,1,-.57012212
174,1,1,1,1,0,1,1.26993
175,1,0,1,0,1,0,1.26993
175,1,1,1,0,1,0,1.26993
176,0,0,1,1,1,1,-.57012212
176,0,1,1,1,1,1,-1.4901482
177,1,0,1,1,1,0,-.57012212
177,1,1,1,1,1,0,-.57012212
178,0,0,1,1,1,0,-.57012212
178,0,1,1,1,1,0,-.57012212
179,0,0,1,1,1,1,-.57012212
179,0,1,1,1,1,1,-.57012212
180,0,0,1,1,1,0,-1.4901482
180,0,1,1,1,1,0,-.57012212
181,1,0,1,0,1,1,1.26993
181,1,1,1,0,1,1,-.57012212
182,0,0,1,0,1,0,1.26993
182,0,1,1,0,1,0,1.26993
183,1,0,1,1,1,0,1.26993
183,1,1,1,1,1,0,1.26993
184,1,0,1,1,1,0,-.57012212
184,1,1,1,1,1,0,-1.4901482
185,1,0,1,0,1,1,1.26993
185,1,1,1,0,1,1,1.26993
186,1,0,1,1,1,0,1.26993
186,1,1,1,1,1,0,-.57012212
187,0,0,1,1,1,1,1.26993
187,0,1,1,1,1,1,-.57012212
188,0,0,1,1,1,0,-.57012212
188,0,1,1,1,1,0,-.57012212
189,1,0,1,1,0,0,1.26993
189,1,1,1,1,0,0,-.57012212
190,0,0,1,0,1,0,-.57012212
190,0,1,1,0,1,0,-1.4901482
191,1,0,1,1,1,1,1.26993
191,1,1,1,1,1,1,1.26993
192,1,0,1,1,1,0,-2.4101741
192,1,1,1,1,1,0,-1.4901482
193,0,0,1,1,1,0,-.57012212
193,0,1,1,1,1,0,-.57012212
194,0,0,1,1,1,0,-1.4901482
194,0,1,1,1,1,0,-1.4901482
195,0,0,1,1,1,1,-1.4901482
195,0,1,1,1,1,1,-.57012212
196,1,0,1,1,1,0,1.26993
196,1,1,1,1,1,0,-.57012212
197,0,0,1,1,1,0,-1.4901482
197,0,1,1,1,1,0,-.57012212
198,0,0,1,0,1,1,-.57012212
198,0,1,1,0,1,1,-1.4901482
199,1,0,1,0,1,1,1.26993
199,1,1,1,0,1,1,1.26993
200,0,0,1,1,1,1,-1.4901482
200,0,1,1,1,1,1,-.57012212
201,1,0,1,1,1,0,1.26993
201,1,1,1,1,1,0,-.57012212
202,1,0,1,0,1,1,1.26993
202,1,1,1,0,1,1,-.57012212
203,1,0,1,1,1,0,-2.4101741
203,1,1,1,1,1,0,-2.4101741
204,0,0,1,1,1,0,-1.4901482
204,0,1,1,1,1,0,-.57012212
205,0,0,1,1,1,0,-.57012212
205,0,1,1,1,1,0,.34990394
206,1,0,1,0,1,1,1.26993
206,1,1,1,0,1,1,1.26993
207,0,0,1,0,1,0,-.57012212
207,0,1,1,0,1,0,-.57012212
208,0,0,1,1,1,0,-1.4901482
208,0,1,1,1,1,0,-.57012212
209,1,0,1,0,1,1,-.57012212
209,1,1,1,0,1,1,-.57012212
210,1,0,1,1,1,0,-.57012212
210,1,1,1,1,1,0,.34990394
211,0,0,1,1,1,0,-.57012212
211,0,1,1,1,1,0,-.57012212
212,0,0,1,1,1,0,-.57012212
212,0,1,1,1,1,0,-.57012212
213,0,0,1,1,1,0,1.26993
213,0,1,1,1,1,0,1.26993
214,1,0,1,1,0,1,-.57012212
214,1,1,1,1,0,1,1.26993
215,1,0,1,1,1,0,-.57012212
215,1,1,1,1,1,0,-.57012212
216,0,0,1,1,1,1,1.26993
216,0,1,1,1,1,1,1.26993
217,1,0,1,1,1,0,-.57012212
217,1,1,1,1,1,0,-1.4901482
218,0,0,1,1,1,0,-.57012212
218,0,1,1,1,1,0,-.57012212
219,1,0,1,1,1,0,-.57012212
219,1,1,1,1,1,0,-.57012212
220,0,0,1,1,1,1,1.26993
220,0,1,1,1,1,1,-.57012212
221,1,0,1,1,1,0,-.57012212
221,1,1,1,1,1,0,-2.4101741
222,1,0,1,1,1,0,-.57012212
222,1,1,1,1,1,0,-.57012212
223,1,0,1,1,1,0,-.57012212
223,1,1,1,1,1,0,-.57012212
224,1,0,1,0,1,1,-1.4901482
224,1,1,1,0,1,1,-.57012212
225,0,0,1,0,1,0,1.26993
225,0,1,1,0,1,0,.34990394
226,1,0,1,1,1,0,1.26993
226,1,1,1,1,1,0,-.57012212
227,1,0,1,0,1,1,1.26993
227,1,1,1,0,1,1,-.57012212
228,0,0,1,1,1,0,-.57012212
228,0,1,1,1,1,0,-.57012212
229,0,0,1,1,1,0,-.57012212
229,0,1,1,1,1,0,.34990394
230,0,0,1,0,1,0,-.57012212
230,0,1,1,0,1,0,1.26993
231,0,0,1,1,1,0,-.57012212
231,0,1,1,1,1,0,-.57012212
232,0,0,1,0,1,1,-.57012212
232,0,1,1,0,1,1,-.57012212
233,0,0,1,1,1,0,-.57012212
233,0,1,1,1,1,0,.34990394
234,1,0,1,0,1,0,-1.4901482
234,1,1,1,0,1,0,-.57012212
235,1,0,1,1,1,1,-.57012212
235,1,1,1,1,1,1,-.57012212
236,0,0,1,1,0,1,-.57012212
236,0,1,1,1,0,1,-.57012212
237,0,0,1,1,1,0,-.57012212
237,0,1,1,1,1,0,-.57012212
238,1,0,1,1,1,0,.34990394
238,1,1,1,1,1,0,-1.4901482
239,0,0,1,1,0,0,.34990394
239,0,1,1,1,0,0,1.26993
240,1,0,1,1,1,0,1.26993
240,1,1,1,1,1,0,-.57012212
241,0,0,1,0,1,1,-.57012212
241,0,1,1,0,1,1,-.57012212
242,0,0,1,1,1,0,-1.4901482
242,0,1,1,1,1,0,1.26993
243,1,0,1,1,1,0,1.26993
243,1,1,1,1,1,0,.34990394
244,1,0,1,1,1,0,-1.4901482
244,1,1,1,1,1,0,-1.4901482
245,0,0,1,1,1,0,-1.4901482
245,0,1,1,1,1,0,-.57012212
246,0,0,1,1,1,0,-.57012212
246,0,1,1,1,1,0,1.26993
247,1,0,1,0,1,0,-.57012212
247,1,1,1,0,1,0,1.26993
248,0,0,1,1,1,0,-1.4901482
248,0,1,1,1,1,0,-.57012212
249,1,0,1,1,0,1,-.57012212
249,1,1,1,1,0,1,-.57012212
250,1,0,1,1,1,0,-1.4901482
250,1,1,1,1,1,0,-.57012212
251,0,0,1,1,1,0,-.57012212
251,0,1,1,1,1,0,-1.4901482
252,1,0,1,1,1,0,-.57012212
252,1,1,1,1,1,0,-.57012212
253,0,0,1,0,1,1,.34990394
253,0,1,1,0,1,1,-.57012212
254,1,0,1,1,1,1,1.26993
254,1,1,1,1,1,1,1.26993
255,0,0,1,1,1,0,-.57012212
255,0,1,1,1,1,0,-.57012212
256,1,0,1,1,1,0,1.26993
256,1,1,1,1,1,0,1.26993
257,1,0,1,0,1,0,-.57012212
257,1,1,1,0,1,0,-.57012212
258,0,0,1,1,1,0,-.57012212
258,0,1,1,1,1,0,-.57012212
259,0,0,1,1,1,0,-1.4901482
259,0,1,1,1,1,0,-.57012212
260,0,0,1,1,1,0,-.57012212
260,0,1,1,1,1,0,-.57012212
261,0,0,1,0,1,1,1.26993
261,0,1,1,0,1,1,-.57012212
262,1,0,1,0,1,0,-2.4101741
262,1,1,1,0,1,0,-.57012212
263,1,0,1,1,1,0,-.57012212
263,1,1,1,1,1,0,-.57012212
264,1,0,1,0,1,1,-.57012212
264,1,1,1,0,1,1,-.57012212
265,1,0,1,0,0,0,.34990394
265,1,1,1,0,0,0,1.26993
266,0,0,1,1,1,0,1.26993
266,0,1,1,1,1,0,-1.4901482
267,0,0,1,1,1,0,-.57012212
267,0,1,1,1,1,0,-.57012212
268,0,0,1,0,1,0,-.57012212
268,0,1,1,0,1,0,.34990394
269,1,0,1,0,1,0,-.57012212
269,1,1,1,0,1,0,-.57012212
270,0,0,1,1,1,0,-.57012212
270,0,1,1,1,1,0,-.57012212
271,0,0,1,1,1,0,-.57012212
271,0,1,1,1,1,0,-.57012212
272,0,0,1,0,1,1,-1.4901482
272,0,1,1,0,1,1,-1.4901482
273,1,0,1,1,1,0,-.57012212
273,1,1,1,1,1,0,-.57012212
274,1,0,1,1,1,1,1.26993
274,1,1,1,1,1,1,-.57012212
275,1,0,1,1,1,0,1.26993
275,1,1,1,1,1,0,-1.4901482
276,1,0,1,0,1,1,1.26993
276,1,1,1,0,1,1,-.57012212
277,1,0,1,0,1,0,-.57012212
277,1,1,1,0,1,0,-.57012212
278,0,0,1,1,1,0,-1.4901482
278,0,1,1,1,1,0,-.57012212
279,0,0,1,1,0,1,-.57012212
279,0,1,1,1,0,1,.34990394
280,0,0,1,1,1,0,1.26993
280,0,1,1,1,1,0,.34990394
281,1,0,1,0,1,1,.34990394
281,1,1,1,0,1,1,-.57012212
282,1,0,1,0,1,0,1.26993
282,1,1,1,0,1,0,1.26993
283,1,0,1,1,0,0,-1.4901482
283,1,1,1,1,0,0,1.26993
284,0,0,1,1,1,0,-1.4901482
284,0,1,1,1,1,0,-.57012212
285,1,0,1,1,1,0,-.57012212
285,1,1,1,1,1,0,-.57012212
286,0,0,1,1,1,0,-.57012212
286,0,1,1,1,1,0,1.26993
287,1,0,1,1,1,1,.34990394
287,1,1,1,1,1,1,-.57012212
288,1,0,1,1,0,1,1.26993
288,1,1,1,1,0,1,1.26993
289,0,0,1,1,1,0,-.57012212
289,0,1,1,1,1,0,-.57012212
290,0,0,1,1,0,0,-.57012212
290,0,1,1,1,0,0,1.26993
291,1,0,1,0,0,1,1.26993
291,1,1,1,0,0,1,1.26993
292,1,0,1,1,1,0,-.57012212
292,1,1,1,1,1,0,-.57012212
293,0,0,1,1,1,0,-.57012212
293,0,1,1,1,1,0,-1.4901482
294,0,0,1,0,1,0,-2.4101741
294,0,1,1,0,1,0,1.26993
295,1,0,1,1,1,0,-.57012212
295,1,1,1,1,1,0,-.57012212
296,1,0,1,1,1,1,1.26993
296,1,1,1,1,1,1,-.57012212
297,0,0,1,1,1,1,-.57012212
297,0,1,1,1,1,1,-.57012212
298,1,0,1,1,1,0,1.26993
298,1,1,1,1,1,0,1.26993
299,1,0,1,0,1,0,1.26993
299,1,1,1,0,1,0,-.57012212
300,1,0,1,0,1,1,1.26993
300,1,1,1,0,1,1,-.57012212
301,1,0,1,1,1,0,1.26993
301,1,1,1,1,1,0,-.57012212
302,0,0,1,1,1,0,-.57012212
302,0,1,1,1,1,0,-.57012212
303,0,0,1,0,1,0,-.57012212
303,0,1,1,0,1,0,.34990394
304,0,0,1,0,1,0,-.57012212
304,0,1,1,0,1,0,-.57012212
305,1,0,1,0,1,0,-.57012212
305,1,1,1,0,1,0,-.57012212
306,1,0,1,1,1,0,-.57012212
306,1,1,1,1,1,0,-1.4901482
307,1,0,1,1,1,1,-.57012212
307,1,1,1,1,1,1,-.57012212
308,0,0,1,1,1,0,-.57012212
308,0,1,1,1,1,0,.34990394
309,1,0,1,0,1,1,-.57012212
309,1,1,1,0,1,1,-1.4901482
310,1,0,1,1,1,0,-.57012212
310,1,1,1,1,1,0,-.57012212
311,0,0,1,0,1,1,.34990394
311,0,1,1,0,1,1,1.26993
312,1,0,1,0,1,1,.34990394
312,1,1,1,0,1,1,1.26993
313,0,0,1,1,1,0,-.57012212
313,0,1,1,1,1,0,-.57012212
314,0,0,1,1,1,0,1.26993
314,0,1,1,1,1,0,1.26993
315,0,0,1,0,1,1,-.57012212
315,0,1,1,0,1,1,1.26993
316,1,0,1,0,1,1,1.26993
316,1,1,1,0,1,1,1.26993
317,0,0,1,1,1,0,-.57012212
317,0,1,1,1,1,0,-.57012212
318,1,0,1,1,1,1,-.57012212
318,1,1,1,1,1,1,-.57012212
319,1,0,1,1,1,0,1.26993
319,1,1,1,1,1,0,.34990394
320,1,0,1,1,1,1,-.57012212
320,1,1,1,1,1,1,-.57012212
321,0,0,1,1,1,0,1.26993
321,0,1,1,1,1,0,-.57012212
322,0,0,1,1,1,0,-.57012212
322,0,1,1,1,1,0,-1.4901482
323,0,0,1,0,1,1,1.26993
323,0,1,1,0,1,1,.34990394
324,0,0,1,1,1,0,-.57012212
324,0,1,1,1,1,0,-.57012212
325,0,0,1,1,1,0,-.57012212
325,0,1,1,1,1,0,-.57012212
326,1,0,1,1,0,1,1.26993
326,1,1,1,1,0,1,-.57012212
327,0,0,1,1,1,0,-1.4901482
327,0,1,1,1,1,0,.34990394
328,0,0,1,0,1,1,1.26993
328,0,1,1,0,1,1,1.26993
329,1,0,1,1,1,0,1.26993
329,1,1,1,1,1,0,-.57012212
330,1,0,1,1,1,0,-.57012212
330,1,1,1,1,1,0,-.57012212
331,1,0,1,1,0,0,-.57012212
331,1,1,1,1,0,0,-.57012212
332,1,0,1,0,1,0,1.26993
332,1,1,1,0,1,0,1.26993
333,1,0,1,0,1,1,1.26993
333,1,1,1,0,1,1,-1.4901482
334,1,0,1,1,1,0,-.57012212
334,1,1,1,1,1,0,.34990394
335,1,0,1,1,1,0,-.57012212
335,1,1,1,1,1,0,.34990394
336,1,0,1,1,1,0,1.26993
336,1,1,1,1,1,0,1.26993
337,0,0,1,0,1,1,1.26993
337,0,1,1,0,1,1,-.57012212
338,1,0,1,0,1,1,-.57012212
338,1,1,1,0,1,1,-.57012212
339,0,0,1,0,1,0,1.26993
339,0,1,1,0,1,0,-1.4901482
340,1,0,1,1,1,0,-1.4901482
340,1,1,1,1,1,0,-.57012212
341,1,0,1,1,1,0,-.57012212
341,1,1,1,1,1,0,-.57012212
342,0,0,1,1,1,0,-.57012212
342,0,1,1,1,1,0,-.57012212
343,1,0,1,1,1,1,1.26993
343,1,1,1,1,1,1,1.26993
344,0,0,1,1,1,1,-.57012212
344,0,1,1,1,1,1,1.26993
345,0,0,1,1,1,0,-.57012212
345,0,1,1,1,1,0,-.57012212
346,0,0,1,1,1,0,-.57012212
346,0,1,1,1,1,0,-1.4901482
347,0,0,1,1,1,1,-1.4901482
347,0,1,1,1,1,1,-1.4901482
348,1,0,1,1,0,1,1.26993
348,1,1,1,1,0,1,-.57012212
349,0,0,1,1,1,0,-.57012212
349,0,1,1,1,1,0,-.57012212
350,1,0,1,1,1,0,-.57012212
350,1,1,1,1,1,0,-.57012212
351,1,0,1,1,1,1,-.57012212
351,1,1,1,1,1,1,-.57012212
352,0,0,1,1,1,0,-1.4901482
