hhid,cash,female,age25,schooling,health
143,0,1,1,0,.041619185
144,0,1,1,0,-2.2424746
145,0,0,1,1,-2.7585483
146,0,1,1,0,.19122897
147,0,1,1,1,1.1367481
148,0,1,1,0,.070030466
149,0,1,1,1,1.1367481
150,0,1,1,0,-2.1093161
151,0,1,1,0,.21902265
152,0,1,0,0,.82121259
153,0,1,0,0,-.31672096
154,0,1,1,0,-.27187783
155,0,1,1,0,-1.5615557
156,0,0,0,1,1.1240603
157,0,0,1,1,.22182262
158,0,0,1,1,.066903606
159,0,0,1,1,.079547733
160,0,1,1,0,1.0779788
161,0,1,1,1,.011261161
162,0,1,1,0,-.27537766
163,0,1,1,0,-.268511
164,0,1,1,0,-.3400698
165,0,0,1,1,-.48738956
166,0,0,1,0,.99287611
167,0,1,1,0,-.51847154
168,0,1,0,0,1.1367481
169,0,1,1,0,1.1367481
170,0,1,1,0,-.25908375
171,0,0,1,1,-.33247057
172,0,1,1,0,-1.5578431
173,0,1,1,0,.067967132
174,0,1,1,0,.011261161
175,0,1,1,0,.19391397
176,0,0,1,0,.090638362
177,0,1,1,0,.0021710945
178,0,1,1,1,.91349882
179,0,1,0,0,-.13710931
180,0,1,1,1,.011487917
181,0,0,1,0,.89941424
182,0,1,0,0,1.1367481
183,0,1,1,0,.22913313
184,0,1,1,0,-.4888624
185,0,1,1,0,-2.3107927
186,0,1,0,0,.23451045
187,0,0,1,0,.52274501
188,0,0,0,1,.22182262
189,0,1,1,0,1.1367481
190,0,1,0,1,.23451045
191,0,1,1,1,.070030466
192,0,1,1,1,-1.2449039
193,0,1,0,1,1.1212603
194,0,0,1,0,-2.4136612
195,0,1,1,1,-.47935024
196,0,1,1,0,-.65775186
197,0,0,1,0,1.1240603
198,0,1,1,0,-.66646361
199,0,1,1,0,-.4194034
200,0,0,1,1,.63217586
201,0,1,1,0,1.1367481
202,0,1,1,0,1.1367481
203,0,1,1,0,-2.4987254
204,0,1,0,1,-.081642635
205,0,1,1,0,-1.6971234
206,0,1,0,0,-.2292386
207,0,1,1,0,.011261161
208,0,1,1,0,.62686002
209,0,0,0,1,1.1094729
210,0,1,1,0,.21902265
211,0,0,0,0,.99287611
212,0,1,1,0,-1.0080402
213,0,0,1,0,-1.4099144
214,0,0,1,0,1.1240603
215,0,1,1,0,-2.0672591
216,0,1,1,0,.23451045
217,0,1,1,0,1.0934666
218,0,0,0,0,-2.0751443
219,0,0,1,1,.9691413
220,0,1,1,1,.07193958
221,0,0,1,1,.22182262
222,0,0,1,0,.51802242
223,0,0,1,1,1.1240603
224,0,1,1,0,-.3400698
225,0,1,1,0,-.38173077
226,0,1,1,1,.21902265
227,0,1,1,1,.070030466
228,0,1,1,0,.68001115
229,0,0,1,0,.22182262
230,0,1,1,0,-.30542275
231,0,1,1,1,-1.7725918
232,0,1,1,0,.19122897
233,0,1,1,0,.22182262
234,0,0,1,1,.86763203
235,0,1,1,0,.12673637
236,0,1,1,0,.37484166
237,0,1,1,1,.85091543
238,0,1,1,1,1.1367481
239,0,1,0,0,-.39883906
240,0,1,0,0,-.12801924
241,0,1,1,0,-.83220732
242,0,1,0,0,-.0080320416
243,0,0,1,0,.64694482
244,0,0,1,0,.011550508
245,0,1,1,1,.23451045
246,0,1,1,0,.68562925
247,0,1,1,0,-1.7521955
248,0,1,1,0,.83092439
249,0,1,1,1,.35857841
250,0,1,0,1,-.25988984
251,0,1,1,1,-1.4313654
252,0,1,1,0,-.096512876
253,0,1,1,0,.92898667
254,0,0,1,1,.22182262
255,0,0,1,1,.9691413
256,0,1,1,0,.47786784
257,0,0,1,0,-1.9035763
258,0,0,1,1,-.44662401
259,0,1,1,0,-3.0800345
260,0,1,1,0,-1.4067875
261,0,1,1,0,.21902265
262,0,1,1,0,-.39917025
263,0,1,1,1,.070030466
264,0,1,0,0,.9722681
265,0,0,1,0,.068701774
266,0,0,1,1,1.1240603
267,0,1,1,0,.011261161
268,0,1,0,1,1.1367481
269,0,0,1,1,.066903606
270,0,1,0,1,-4.3434258
271,0,0,1,0,.22182262
272,0,1,1,1,.070030466
273,0,1,1,0,-.071313277
274,0,0,1,0,.049872782
275,0,0,1,1,.92837578
276,0,1,0,1,.011487917
277,0,1,1,1,.19122897
278,0,0,1,1,1.1240603
279,0,1,1,0,.19122897
280,0,1,0,1,-.053231385
281,0,1,1,0,1.0934666
282,0,1,1,0,1.1367481
283,0,1,0,0,-1.285589
284,0,0,1,1,-.42498085
285,0,0,1,0,.22182262
286,0,0,1,0,-.89278626
287,0,1,1,0,-1.2094281
288,0,1,1,1,.036460742
289,0,0,1,0,.011550508
290,0,1,1,0,.50566155
291,0,0,1,1,-.11963372
292,0,1,0,0,1.1367481
293,0,1,0,0,.93089586
294,0,1,1,1,-1.8278419
295,0,1,0,0,.23451045
296,0,1,1,0,-1.2423075
297,0,0,1,1,1.1240603
298,0,1,1,0,.17574118
299,0,1,1,0,.97417724
300,0,0,1,1,-.3527576
301,0,1,1,1,-1.6279008
302,0,1,1,1,-.661717
303,0,1,1,0,-1.3476027
304,0,0,1,0,-1.5317532
305,0,0,0,0,-.0066212211
306,0,1,1,0,.067967132
307,0,1,1,1,-.38108838
308,0,1,0,0,.63372666
309,0,1,0,0,.026748961
310,0,0,1,0,.066903606
311,0,0,1,1,1.1240603
312,0,0,1,0,.28991291
313,0,1,0,1,-.3955346
314,0,1,1,1,-.10757073
315,0,1,1,1,-1.2423075
316,0,0,1,1,1.1240603
317,0,1,1,0,-.069249965
318,0,1,1,0,.095230021
319,0,1,0,0,-.52920091
320,0,1,1,0,.9722681
321,0,0,1,1,1.1240603
322,0,1,1,0,.070030466
323,0,1,1,0,1.1367481
324,0,1,1,1,-1.4500688
325,0,1,1,0,.21902265
326,0,0,1,0,-.7470144
327,0,1,1,0,-.73773217
328,0,1,1,0,.23451045
329,0,0,1,1,.95678037
330,0,0,1,0,-.48572451
331,0,0,1,0,-.54844218
332,0,1,1,1,-.35588884
333,0,1,1,1,.52114928
334,0,1,1,0,-.52017158
335,0,0,0,1,.67294145
336,0,1,1,0,1.1367481
337,0,0,1,1,-.48753387
338,0,1,1,0,.23451045
339,0,0,1,1,1.0832947
340,0,1,0,0,.070030466
341,0,0,0,0,1.1240603
342,0,0,1,0,.65835392
343,0,1,1,0,.65492904
344,0,1,1,0,.64234781
345,0,0,1,1,.9691413
346,0,0,1,1,-2.8229434
347,0,1,0,0,.91372561
348,0,0,1,0,-.1411394
349,0,0,1,1,-1.9293624
350,0,1,1,0,.73609549
351,0,1,1,0,-.3965762
352,0,0,0,0,-.18037741
353,0,1,1,1,1.1367481
354,0,1,1,0,-4.8492527
355,0,1,0,1,.51802242
356,0,1,1,1,-.54878008
357,0,0,1,0,-.017150067
358,0,0,1,0,.034144383
359,0,1,1,1,-.037743583
360,0,1,1,1,.9722681
361,0,1,1,0,-.5791381
362,0,1,1,0,.9722681
363,0,0,1,1,-1.2695829
364,0,0,1,0,.011550508
365,0,1,1,0,-2.1333721
366,0,1,1,0,.31017616
367,0,0,1,0,-4.241889
368,0,1,1,1,-1.094949
369,0,1,1,0,-2.247472
370,0,0,1,0,-.31218952
371,0,0,1,0,.22182262
372,0,0,1,1,.22182262
373,0,1,1,0,.92898667
374,0,1,1,0,-.66745228
375,0,1,1,0,.054542679
376,0,1,1,0,.12673637
377,0,1,1,0,.45107684
378,0,1,1,0,-.5045498
379,0,1,1,0,-.42436984
380,0,0,1,0,.12031331
381,0,1,0,1,-3.2277989
382,0,0,1,0,-1.2870057
383,0,1,1,0,-.17669371
384,0,0,1,0,-.078868128
385,0,1,1,0,-.40391567
386,0,1,1,1,.070030466
387,0,1,0,0,.070030466
388,0,0,1,0,1.1240603
389,0,0,1,1,.066903606
390,0,0,1,0,.22182262
391,0,1,1,1,.23451045
392,0,1,0,0,-1.5462151
393,0,1,1,1,1.1367481
394,0,0,1,0,-1.4099144
395,0,0,1,1,1.1240603
396,0,0,1,0,.011550508
397,0,0,1,0,-.97748822
398,0,1,1,1,.23451045
399,0,1,1,1,-.268511
400,0,1,0,1,.095230021
401,0,1,1,0,.11124861
402,0,1,0,1,.067967132
403,0,1,1,0,.9722681
404,0,0,1,0,-.22929622
405,0,1,1,0,1.1367481
406,0,0,1,0,.67294145
407,0,1,1,0,.23451045
408,0,0,1,1,.67294145
409,0,1,0,1,1.1367481
410,0,1,1,0,-1.3010768
411,0,1,1,0,1.1367481
412,0,0,1,0,.066903606
413,0,1,1,0,1.1367481
414,0,1,1,0,-.3400698
415,0,0,1,1,-.43747672
416,0,1,1,1,-.3107101
417,0,1,1,0,-.32728025
418,0,1,1,0,-1.850674
419,0,1,1,0,.19122897
420,0,1,1,0,.23451045
421,0,1,0,1,1.1367481
422,0,1,1,0,.52114928
423,0,0,1,1,-.61857373
424,0,1,1,0,.23451045
425,0,0,0,1,-.74282378
426,0,1,1,1,-.93545985
427,0,1,0,1,.91349882
428,0,1,0,0,-.43985766
429,0,0,1,1,-1.2549953
430,0,1,1,0,1.1367481
431,0,1,1,0,.23451045
432,0,1,0,1,-1.6648177
433,0,0,1,1,.9691413
434,0,0,0,1,.22182262
435,0,0,1,1,.38683823
436,0,0,1,1,-.48514849
437,0,0,1,0,.066903606
438,0,1,1,0,.19122897
439,0,1,1,0,-.42293337
440,0,1,1,0,.95678037
441,0,1,1,0,-.24612261
442,0,1,1,1,.92898667
443,0,1,0,1,-.3955346
444,0,0,1,0,-4.1054468
445,0,1,1,1,.095230021
446,0,1,1,0,.35460597
447,0,0,1,0,-2.5101235
448,0,1,1,0,-1.7089143
449,0,1,1,0,1.1367481
450,0,1,1,0,-.096512876
451,0,0,1,1,.22182262
452,0,1,1,1,.19122897
453,0,0,1,0,.20723511
454,0,1,0,1,-1.5061531
455,0,1,1,0,.21902265
456,0,1,0,1,.92837578
457,0,1,0,0,-.21660841
458,0,1,1,0,.067967132
459,0,1,1,0,-2.2932944
460,0,0,1,1,-.32728025
461,0,0,1,0,1.1240603
462,0,1,1,0,.23451045
463,0,1,1,0,1.1367481
464,0,0,1,0,.011550508
465,0,1,1,1,.23451045
466,0,0,1,1,1.1240603
467,0,0,1,0,1.1240603
468,0,1,1,0,1.1367481
469,0,1,0,0,.93869841
470,0,1,1,0,.92898667
471,0,1,1,0,.23451045
472,0,1,1,1,-1.1591113
473,0,1,1,0,-.49444234
474,0,1,1,1,-.56430763
475,0,1,1,0,-1.7612858
476,0,0,1,0,.22182262
477,0,1,0,1,-.10407088
478,0,1,0,0,.9974677
479,0,1,1,0,.19122897
480,0,1,0,1,.07193958
481,0,0,1,0,.22182262
482,0,1,1,0,-.2320962
483,0,0,1,1,1.1240603
484,0,1,1,0,1.1367481
485,0,1,0,1,-.56904334
486,0,1,1,1,.23451045
487,0,0,1,0,.91400182
488,0,1,0,0,.73163474
489,0,1,1,0,-3.1343079
490,0,1,1,1,-.3400698
491,0,1,0,0,1.1240603
492,0,1,1,0,.98569262
493,0,1,1,0,1.1367481
494,0,0,1,1,1.1240603
495,0,1,0,0,-.32568595
496,0,0,1,1,.97828853
497,0,0,1,1,.9691413
498,0,1,0,0,.070030466
499,0,1,0,0,.12673637
500,0,1,1,0,-.12801924
501,1,0,1,1,.20723511
502,1,0,1,0,.22182262
503,1,1,0,0,.9722681
504,1,0,1,0,-.26988038
505,1,0,1,0,1.0832947
506,1,1,0,1,1.1367481
507,1,0,1,1,-.50197703
508,1,0,1,1,1.1240603
509,1,0,1,0,1.1240603
510,1,0,1,0,-.42245188
511,1,1,0,1,1.1367481
512,1,1,1,0,.23451045
513,1,1,1,0,-1.4067875
514,1,1,0,1,-1.5848461
515,1,1,0,0,.21902265
516,1,1,1,0,.026748961
517,1,0,0,1,.22182262
518,1,1,1,0,.21902265
519,1,0,0,1,-.48102957
520,1,1,1,1,-.037743583
521,1,1,0,0,-1.2577952
522,1,1,0,1,1.0934666
523,1,1,0,0,.17574118
524,1,1,1,0,-1.5733309
525,1,1,1,0,-2.3240345
526,1,1,1,0,-.12801924
527,1,1,1,0,-.56426787
528,1,1,1,0,.23451045
529,1,1,0,1,.21902265
530,1,1,1,0,-.44719717
531,1,1,1,1,-1.2577952
532,1,1,1,1,-1.9085422
533,1,1,1,0,.99287611
534,1,0,1,0,-1.2811145
535,1,0,1,0,.22182262
536,1,1,1,0,.095230021
537,1,0,1,0,-1.555686
538,1,0,1,0,.67294145
539,1,1,1,1,-.21660841
540,1,0,1,1,1.0832947
541,1,1,0,1,1.1367481
542,1,0,1,0,-.37949264
543,1,1,1,1,-.4194034
544,1,1,0,0,.23451045
545,1,1,1,0,.08571557
546,1,1,1,0,-.27537766
547,1,1,0,0,-.52990818
548,1,0,1,0,.026138015
549,1,1,1,1,.83298779
550,1,0,1,1,.9691413
551,1,1,1,0,.47088048
552,1,0,1,1,.9691413
553,1,1,0,0,.63217586
554,1,1,0,0,-.38342226
555,1,1,1,0,-2.9310451
556,1,1,1,1,-.42436984
557,1,1,1,1,1.1367481
558,1,0,1,0,-4.3567576
559,1,1,1,0,-1.493968
560,1,1,1,0,.68562925
561,1,1,1,0,.070030466
562,1,0,1,1,.011550508
563,1,1,1,0,.23451045
564,1,1,0,0,.095230021
565,1,1,1,0,-.38108838
566,1,1,1,1,-.031793557
567,1,1,1,0,.9722681
568,1,0,1,0,.041619185
569,1,1,1,1,1.1367481
570,1,0,1,0,-2.8704128
571,1,1,0,1,1.1367481
572,1,1,1,0,1.1367481
573,1,1,1,0,-1.8863176
574,1,0,1,1,-2.3745608
575,1,0,1,0,-2.2451835
576,1,1,1,0,-.037743583
577,1,1,0,0,.52274501
578,1,1,0,1,-.47935024
579,1,1,1,0,-.91056919
580,1,1,0,1,1.1367481
581,1,1,1,1,-.97115642
582,1,1,1,1,-.21660841
583,1,0,1,1,.22182262
584,1,1,1,0,.72521371
585,1,1,0,0,.19122897
586,1,1,0,0,1.0289741
587,1,0,0,1,.67294145
588,1,1,1,1,.98569262
589,1,1,1,1,.011261161
590,1,1,1,0,1.1367481
591,1,1,1,1,.070030466
592,1,0,1,0,1.0079635
593,1,1,1,0,1.1367481
594,1,1,0,1,.9722681
595,1,1,0,1,.68562925
596,1,1,1,0,.53457373
597,1,0,1,1,1.1240603
598,1,1,1,1,.19122897
599,1,1,0,1,1.1367481
600,1,1,1,0,-.037743583
601,1,1,1,0,.88839024
602,1,0,1,0,.20723511
603,1,1,1,0,1.1367481
604,1,1,1,1,-.19190614
605,1,1,1,0,.91349882
606,1,1,1,1,.9974677
607,1,0,1,0,-1.1008259
608,1,1,0,1,-.38335124
609,1,1,0,1,.78271896
610,1,1,1,0,.070030466
611,1,0,1,1,.99287611
612,1,0,1,1,.18105705
613,1,1,1,0,.070030466
614,1,1,1,0,.23451045
615,1,1,1,0,-1.8807337
616,1,1,1,0,1.1240603
617,1,1,0,0,.83298779
618,1,1,1,1,-1.8344647
619,1,1,1,0,-.5087598
620,1,0,1,1,-2.0329831
621,1,1,1,0,-2.2868609
622,1,1,0,1,.82121259
623,1,1,1,1,1.1367481
624,1,1,1,1,.095230021
625,1,1,0,1,1.1367481
626,1,1,1,0,-1.3500814
627,1,0,1,1,.61758834
628,1,0,1,0,.066903606
629,1,1,1,0,.070030466
630,1,1,1,0,.026138015
631,1,1,0,1,.083454907
632,1,0,1,1,.76687562
633,1,1,1,0,.070030466
634,1,1,1,0,.070030466
635,1,1,0,1,1.1367481
636,1,1,1,0,.23451045
637,1,1,1,0,1.1367481
638,1,1,1,0,.9722681
639,1,0,1,0,.011550508
640,1,1,1,1,.054542679
641,1,1,1,0,-.69129145
642,1,0,1,0,.22182262
643,1,1,1,0,.23451045
644,1,1,1,1,.68562925
645,1,1,1,0,-.27394122
646,1,1,1,0,.041619185
647,1,0,1,1,.20723511
648,1,0,1,0,-1.2549953
649,1,0,1,0,1.0832947
650,1,1,0,1,-.02351982
651,1,0,1,1,-.37949264
652,1,1,1,0,.68562925
653,1,1,1,0,.17574118
654,1,1,1,0,-1.4067875
655,1,1,1,0,.49832201
656,1,1,0,0,.23451045
657,1,1,1,0,-2.9330819
658,1,0,1,1,.066903606
659,1,1,1,0,.070030466
660,1,1,1,0,.051948544
661,1,1,1,0,.070030466
662,1,1,1,0,.095230021
663,1,1,1,0,.011261161
664,1,1,0,1,.21902265
665,1,1,1,1,.91349882
666,1,1,1,0,1.1212603
667,1,1,1,1,.095230021
668,1,0,0,0,1.1240603
669,1,0,1,0,-.80387646
670,1,1,1,0,-.80700779
671,1,0,1,1,1.0832947
672,1,0,0,0,.67294145
673,1,0,1,0,.63217586
674,1,0,1,1,1.0225509
675,1,1,0,0,-.51784974
676,1,0,1,0,-.0066212211
677,1,1,1,0,.94385684
678,1,1,1,0,.17574118
679,1,1,1,0,.68562925
680,1,0,1,0,.066903606
681,1,1,1,1,1.0934666
682,1,0,1,1,.22182262
683,1,1,1,1,-1.2423075
684,1,0,1,1,.96719795
685,1,1,1,0,.070030466
686,1,1,1,0,.070030466
687,1,0,1,0,-.3527576
688,1,1,1,0,.23451045
689,1,1,1,0,.011261161
690,1,1,1,0,.9722681
691,1,1,1,0,.54634887
692,1,0,1,1,.67294145
693,1,1,0,1,1.1240603
694,1,1,0,1,1.235432
695,1,1,1,1,.070030466
696,1,0,1,0,.48257047
697,1,1,1,0,-2.2424746
698,1,1,1,0,1.1212603
699,1,1,1,1,-5.3298883
700,1,1,1,0,-3.2436666
701,1,1,1,1,.9722681
702,1,1,1,0,.23451045
703,1,0,1,1,1.1240603
704,1,1,0,0,.011261161
705,1,1,1,1,-.18163006
706,1,0,1,0,.22182262
707,1,1,0,0,.68562925
708,1,1,1,1,-.3400698
709,1,1,0,1,1.1367481
710,1,1,1,0,-.069249965
711,1,0,1,1,-.40124607
712,1,1,1,0,-2.7883484
713,1,1,0,1,.070030466
714,1,1,1,1,.5765518
715,1,1,1,0,.12673637
716,1,1,0,1,.1099451
717,1,1,0,0,.18105705
718,1,1,1,0,.17574118
719,1,1,1,0,.47786784
720,1,1,1,1,1.0289741
721,1,1,1,1,.026748961
722,1,0,1,0,1.1240603
723,1,1,1,0,-.029335285
724,1,0,1,0,.7971915
725,1,1,1,0,-2.556026
726,1,1,1,0,-.91763443
727,1,0,1,0,.18127944
728,1,1,0,0,.23451045
729,1,1,1,0,-.32438248
730,1,0,1,0,1.1240603
731,1,1,1,1,-.35104176
732,1,0,0,0,.9691413
733,1,1,1,0,-.83220732
734,1,0,1,1,1.1240603
735,1,1,1,0,.80202669
736,1,1,1,0,.2393575
737,1,1,1,0,-3.2820156
738,1,1,1,1,-1.4500688
739,1,1,0,1,.19122897
740,1,1,1,0,.23451045
741,1,1,1,0,.19122897
742,1,1,1,0,.23451045
743,1,1,1,0,.91349882
744,1,1,1,0,-.66918856
745,1,1,1,0,.17574118
746,1,0,1,1,.67294145
747,1,0,1,1,-1.400767
748,1,0,1,0,-1.0026115
749,1,1,1,0,1.0934666
750,1,1,1,0,1.1367481
751,1,1,1,0,-1.5995616
752,1,1,1,0,-1.4067875
753,1,1,1,0,.070030466
754,1,0,1,1,1.1240603
755,1,1,1,0,-.43985766
756,1,1,1,1,.53457373
757,1,0,1,1,.12031331
758,1,1,1,1,-.79118866
759,1,1,0,0,1.1367481
760,1,1,1,0,-2.3729448
761,1,1,1,0,.78970623
762,1,0,1,1,.22182262
763,1,1,1,0,.23451045
764,1,1,1,0,.070030466
765,1,0,1,1,.22182262
766,1,0,1,0,1.1240603
767,1,0,1,1,.9691413
768,1,1,1,0,.070030466
769,1,1,1,1,-.73712647
770,1,1,1,0,-2.0244496
771,1,1,1,1,.095230021
772,1,1,0,1,.68562925
773,1,0,1,1,-1.768419
774,1,0,1,1,.16646953
775,1,1,1,0,-1.7394001
776,1,0,1,1,-1.2549953
777,1,0,1,1,-.3527576
778,1,1,1,0,.90326041
779,1,1,1,0,-.32438248
780,1,0,1,1,.066903606
781,1,1,1,1,.23451045
782,1,1,1,0,-.54346192
783,1,1,1,0,-2.6775167
784,1,1,1,0,-.3400698
785,1,0,1,0,1.1240603
786,1,1,1,1,-.12801924
787,1,0,1,0,.22182262
788,1,1,0,0,-.15643053
789,1,0,1,0,.46266937
790,1,0,1,0,1.1240603
791,1,1,1,0,.011261161
792,1,1,1,1,1.1367481
793,1,1,1,0,.054542679
794,1,1,0,0,.070030466
795,1,1,1,0,-.35399154
796,1,0,1,1,-.3527576
797,1,1,0,1,1.1367481
798,1,1,1,0,-.31533223
799,1,1,1,1,.9722681
800,1,1,1,1,.68562925
801,1,1,1,0,.011261161
802,1,1,1,0,-.38108838
803,1,1,1,1,.23451045
804,1,1,1,0,-1.2577952
805,1,0,1,1,1.1240603
806,1,0,1,1,.27499112
807,1,0,1,0,.47725689
808,1,1,0,0,.070030466
809,1,1,1,0,-3.2358353
810,1,0,1,0,-3.3437068
811,1,1,0,0,.68562925
812,1,0,1,0,.65835392
813,1,0,1,0,.22182262
814,1,1,1,1,-.081025101
815,1,0,1,1,-.07537128
816,1,1,0,0,.98197997
817,1,1,1,0,-1.3330637
818,1,1,0,1,.51802242
819,1,1,1,0,-.2151719
820,1,0,1,1,.51576054
821,1,1,1,0,-1.1382306
822,1,1,1,1,.3331944
823,1,1,1,1,.95678037
824,1,1,0,0,.6904763
825,1,1,1,0,.23451045
826,1,1,1,1,-.081025101
827,1,1,0,0,.17574118
828,1,0,1,0,.066903606
829,1,1,1,0,-1.0674882
830,1,1,1,1,-1.7747102
831,1,1,1,1,-1.7089143
832,1,0,1,1,1.0601454
833,1,1,1,0,1.0289741
834,1,1,0,0,.047203179
835,1,0,1,0,.22182262
836,1,0,1,1,.22182262
837,1,0,0,0,1.1240603
838,1,1,1,0,.3331944
839,1,1,0,0,-3.2744455
840,1,0,1,0,.59175456
841,1,1,1,0,1.1367481
842,1,0,1,0,-.46630174
843,1,1,1,0,.9722681
844,1,1,0,1,.9722681
845,1,1,1,0,.86449414
846,1,0,1,1,.011550508
847,1,1,0,0,1.0779788
848,1,0,1,0,.9691413
849,1,0,1,0,.51802242
850,1,1,0,1,.3818689
851,1,1,0,1,.095230021
852,1,1,1,0,-.18799984
853,1,0,1,0,-.30364785
854,1,1,1,0,.026748961
855,1,0,1,0,1.1240603
856,1,0,1,0,.91400182
857,1,1,1,0,-1.9279789
858,1,1,1,0,-.62512791
859,1,1,1,1,-.5045498
860,1,1,1,0,-.11253148
861,1,0,1,1,-2.1457548
862,1,1,1,0,.1456961
863,1,0,1,0,.67294145
864,1,0,1,1,-.21769835
865,1,1,1,0,1.1367481
866,1,1,1,0,-.54763168
867,1,1,1,1,1.1367481
868,1,0,0,0,1.1240603
869,1,0,1,0,1.1240603
870,1,0,1,0,1.1094729
871,1,1,1,0,.68562925
872,1,0,1,0,.18358597
873,1,1,1,0,1.1367481
874,1,1,1,0,-.12801924
875,1,1,0,0,.011261161
876,1,1,0,1,.11124861
877,1,0,1,0,.066903606
878,1,1,1,0,.070030466
879,1,1,1,0,-1.6429603
880,1,1,0,0,1.0289741
881,1,1,1,0,.9722681
882,1,0,1,0,.18105705
883,1,1,1,0,.92898667
884,1,1,0,0,.011261161
885,1,1,0,1,-.46176556
886,1,1,1,0,-.27537766
887,1,1,1,0,.19122897
888,1,1,1,0,-1.2577952
889,1,1,1,1,.52114928
890,1,1,1,1,-.40391567
891,1,1,1,0,1.1367481
892,1,1,1,0,-.084737763
